Iteration number,Weight,Biases,Errors
1,[0.2 0.2],0.2,2.5600000000000005
2,[-0.12 -0.12],-0.12000000000000005,1.2544000000000002
3,[ 0.104 -0.344],0.10399999999999998,0.4303359999999999
4,[ 0.2352 -0.4752],-0.027200000000000002,1.4708838400000002
5,[ 0.47776 -0.23264],-0.26976,0.9513271295999998
6,[ 0.282688 -0.427712],-0.464832,0.5691676426240001
7,[ 0.4335744 -0.5785984],-0.3139456,0.1063532108185601
8,[ 0.36835072 -0.51337472],-0.24872191999999996,0.8033574186123268
9,[ 0.54761114 -0.3341143 ],-0.427982336,0.617033023426134
10,[ 0.39050824 -0.4912172 ],-0.5850852352,0.494715001503786
11,[ 0.5311802  -0.63188916],-0.44441327616,0.3690351509031695
12,[ 0.40968367 -0.51039264],-0.322916749312,0.6049607329626666
13,[ 0.56524211 -0.35483419],-0.47847519272960004,0.5357255178865599
14,[ 0.41885557 -0.50122074],-0.62486173827072,0.49672250781889216
15,[ 0.55981265 -0.64217782],-0.483904651493376,0.47045212857862795
16,[ 0.42263363 -0.5049988 ],-0.3467256256069632,0.5411655402267711
17,[ 0.56976154 -0.35787089],-0.49385353461497855,0.5155772952921179
18,[ 0.42615411 -0.50147831],-0.637460957165781,0.5038565434215028
19,[ 0.56811982 -0.64344402],-0.4954952509657972,0.4999325560892935
20,[ 0.426708  -0.5020322],-0.35408343305947176,0.5201882406262993
21,[ 0.57095616 -0.35778405],-0.49833158599410027,0.5109969720970229
22,[ 0.42798805 -0.50075215],-0.6412996904226088,0.5077410234677201
23,[ 0.57049995 -0.64326405],-0.4987877928887229,0.5077300544435626
24,[ 0.42798959 -0.50075369],-0.35627743474678814,0.5133531425179451
25,[ 0.57128692 -0.35745636],-0.49957476794150535,NaN
